kernel,paradigm,precision,N,block_param,num_samples,avg_gbytes_s,avg_gflops,pct_of_peak_bandwidth
saxpy,cuda,float,50000000,256,6,85.92412666666667,14.320686666666667,103.94885877893378
reduction,cuda_atomic,float,50000000,256,6,1.9831166666666666,0.49577916666666666,2.3991249294297927
reduction,cuda_shared,float,50000000,256,6,46.08284833333333,11.520711666666667,55.74987700621018
reduction,cuda_shuffle,float,50000000,256,6,72.74990166666666,18.187476666666665,88.01101096862651
transpose,cuda_naive,float,8192,32,3,35.93592,0.0,43.474376965884346
transpose,cuda_tiled,float,8192,32,3,81.89454333333333,0.0,99.0739696749738
jacobi,cuda,float,4096,16,3,172.3576,43.08940333333333,208.51391241229132
saxpy,cuda,double,25000000,256,3,86.01919,7.168266,104.06386402129203
reduction,cuda_atomic,double,25000000,256,3,3.982053666666667,0.4977566666666667,4.817388902330833
reduction,cuda_shared,double,25000000,256,3,60.420386666666666,7.552548666666667,73.09507218324059
reduction,cuda_shuffle,double,25000000,256,3,85.96619666666668,10.745773333333334,103.99975401242037
transpose,cuda_naive,double,5760,32,3,62.97631666666667,0.0,76.1871723526091
transpose,cuda_tiled,double,5760,32,3,82.55215333333334,0.0,99.86952980079039
jacobi,cuda,double,2048,16,3,202.96359999999999,25.370453333333334,245.5402855068957
