kernel,precision,N,workers,num_samples,avg_time_med,speedup,efficiency_pct
matmul,float,1024,1,3,0.1474685953333333,1.0,100.0
matmul,float,1024,2,3,0.103762547,1.4212121771965882,71.06060885982941
matmul,float,1024,4,3,0.06742629799666666,2.187107993688511,54.67769984221278
matmul,float,1024,6,3,0.050410562666666665,2.925351107632945,48.755851793882414
matmul,float,1024,8,3,0.053748885333333336,2.7436586715944045,34.29573339493005
matmul,float,1024,12,3,0.04343133566666667,3.3954423245268672,28.29535270439056
reduction,float,16777216,1,3,0.03923161666666667,1.0,100.0
reduction,float,16777216,2,3,0.020448106,1.918594155696702,95.9297077848351
reduction,float,16777216,4,3,0.010998161999,3.567106637475769,89.17766593689423
reduction,float,16777216,6,3,0.007489127332666667,5.238476383696016,87.30793972826693
reduction,float,16777216,8,3,0.007528151332333333,5.211321469876313,65.1415183734539
reduction,float,16777216,12,3,0.005117193335,7.6666277973776555,63.88856497814713
transpose,float,4096,1,3,0.130504714,1.0,100.0
transpose,float,4096,2,3,0.08833104900000001,1.4774500640199573,73.87250320099787
transpose,float,4096,4,3,0.08508984633333333,1.5337284014917267,38.34321003729317
transpose,float,4096,6,3,0.090573125,1.4408767943029457,24.014613238382427
transpose,float,4096,8,3,0.08556761667,1.525164765349307,19.064559566866336
transpose,float,4096,12,3,0.08349116366666666,1.5630961202197642,13.025801001831368
